"label"	"exists"	"bytes"	"token"	"count"	"path"
"inputs_resolved"	"YES"	"5400"	"NO-GO_SCIENTIFIC_THRESHOLD"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"SMOKE_ROUTE_BLOCKED"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"BLOCKED_FOR_CAUSAL_CLAIM"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"BLOCKED_SPATIAL_SMOKE_CLAIM"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"SCIENTIFIC_PRIMARY_REAL"	"1"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"GFAS + ERA5 detected and decoder is available"	"1"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"extrapolated_from_anchors"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"YES"	"5400"	"missing_flag"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"smoke_route_audit"	"YES"	"2939"	"NO-GO_SCIENTIFIC_THRESHOLD"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"smoke_route_audit"	"YES"	"2939"	"SMOKE_ROUTE_BLOCKED"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
