"label"	"token"	"count"	"path"
"inputs_resolved"	"SCIENTIFIC_PRIMARY_REAL"	"1"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"GFAS + ERA5 detected and decoder is available"	"1"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"v0_gfas_era5_real"	"3"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"required_decoder"	"2"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"BLOCKED_DECODER_REQUIRED"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"NO-GO_SCIENTIFIC_THRESHOLD"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"SMOKE_ROUTE_BLOCKED"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"BLOCKED_FOR_CAUSAL_CLAIM"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"BLOCKED_SPATIAL_SMOKE_CLAIM"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"inputs_resolved"	"10D8M"	"1"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\inputs_resolved.json"
"smoke_route_audit"	"SCIENTIFIC_PRIMARY_REAL"	"10"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\smoke_route_audit.tsv"
"smoke_route_audit"	"GFAS + ERA5 detected and decoder is available"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\smoke_route_audit.tsv"
"smoke_route_audit"	"v0_gfas_era5_real"	"10"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\smoke_route_audit.tsv"
"smoke_route_audit"	"required_decoder"	"0"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D8O_POST_PATCH_RECHECK_20260601_001746\03_outputs\qa\smoke_route_audit.tsv"
